place_id,title,rating,reviews,price,categories,link
johnny-sausage-christchurch,Johnny Sausage,5.0,1,,"Bagels, Pizza, Beer Bar",https://www.yelp.com/biz/johnny-sausage-christchurch?osq=Restaurant
LceHmZ1Z2pCl1WrVnVNptA,Fox & Ferret Public Ale House,2.6,8,,New Zealand,https://www.yelp.com/biz/fox-and-ferret-public-ale-house-christchurch-2?osq=Restaurant
fox-and-ferret-public-ale-house-christchurch-2,Fox & Ferret Public Ale House,2.6,8,,New Zealand,https://www.yelp.com/biz/fox-and-ferret-public-ale-house-christchurch-2?osq=Restaurant
fceiTC-97L1lg6Cz8oa7CQ,The Rockpool,3.3,4,,"Diners, Breakfast & Brunch, Pizza",https://www.yelp.com/biz/the-rockpool-christchurch?osq=Restaurant
the-rockpool-christchurch,The Rockpool,3.3,4,,"Diners, Breakfast & Brunch, Pizza",https://www.yelp.com/biz/the-rockpool-christchurch?osq=Restaurant
o4gNSlz3y_9GjtGxlT_6Cg,Costas Taverna Greek Restaurant and Ouzo Bar,3.5,2,,"Bars, Greek",https://www.yelp.com/biz/costas-taverna-greek-restaurant-and-ouzo-bar-christchurch-2?osq=Restaurant
costas-taverna-greek-restaurant-and-ouzo-bar-christchurch-2,Costas Taverna Greek Restaurant and Ouzo Bar,3.5,2,,"Bars, Greek",https://www.yelp.com/biz/costas-taverna-greek-restaurant-and-ouzo-bar-christchurch-2?osq=Restaurant
WKqUbfkvHIwCThBWVuBtXA,Madam Kwong’s Restaurant,1.5,2,,Cantonese,https://www.yelp.com/biz/madam-kwongs-restaurant-christchurch?osq=Restaurant
madam-kwongs-restaurant-christchurch,Madam Kwong’s Restaurant,1.5,2,,Cantonese,https://www.yelp.com/biz/madam-kwongs-restaurant-christchurch?osq=Restaurant
W3bRohV8kGbiTAWLMu9SUw,Hachi Hachi,3.2,5,,"Japanese, Sushi Bars, Noodles",https://www.yelp.com/biz/hachi-hachi-christchurch-3?osq=Restaurant
hachi-hachi-christchurch-3,Hachi Hachi,3.2,5,,"Japanese, Sushi Bars, Noodles",https://www.yelp.com/biz/hachi-hachi-christchurch-3?osq=Restaurant
FGl6yyXDjbx59y16pP0EUQ,Taste Of Egypt,5.0,1,,"Greek, Middle Eastern, Kebab",https://www.yelp.com/biz/taste-of-egypt-christchurch?osq=Restaurant
taste-of-egypt-christchurch,Taste Of Egypt,5.0,1,,"Greek, Middle Eastern, Kebab",https://www.yelp.com/biz/taste-of-egypt-christchurch?osq=Restaurant
YrmrG9dof2wD2U7KWZoYeA,Boteco Cafe & Bar,5.0,2,,"Mediterranean, Tapas Bars",https://www.yelp.com/biz/boteco-cafe-and-bar-christchurch?osq=Restaurant
boteco-cafe-and-bar-christchurch,Boteco Cafe & Bar,5.0,2,,"Mediterranean, Tapas Bars",https://www.yelp.com/biz/boteco-cafe-and-bar-christchurch?osq=Restaurant
vG7Bx-lV2eAmp1_AgjcWuA,Benson Chinese Restaurant,3.0,2,,"Chinese, Seafood, Noodles",https://www.yelp.com/biz/benson-chinese-restaurant-christchurch?osq=Restaurant
benson-chinese-restaurant-christchurch,Benson Chinese Restaurant,3.0,2,,"Chinese, Seafood, Noodles",https://www.yelp.com/biz/benson-chinese-restaurant-christchurch?osq=Restaurant
